"";"is_canceled";"lead_time";"children_babies";"booking_changes";"adr";"total_of_special_requests"
"24883";"1";139;0;3;181;3
"60487";"1";71;0;0;98,1;0
"44215";"0";181;0;0;79;0
"70788";"1";47;1;0;74,42;0
"11749";"0";61;0;0;153,75;0
"25675";"1";38;0;0;106;2
"33314";"0";0;0;0;100;2
"14114";"1";311;2;0;211;0
"8387";"1";3;0;2;165,33;1
"25811";"1";35;0;0;48,75;0
"92327";"0";18;0;0;52,36;2
"22768";"1";107;0;0;130,13;0
"12391";"0";84;0;0;25;0
"44720";"0";20;0;0;161;0
"73963";"0";20;0;0;90;1
"94277";"0";7;0;1;137,13;0
"36983";"0";144;2;0;336,57;2
"98656";"0";23;0;0;137;0
"46316";"0";1;0;0;137,67;0
"83107";"0";108;0;0;65,49;1
"6662";"0";1;0;2;202;0
"101403";"0";72;0;0;178;0
"93977";"0";39;0;2;158;0
"19610";"1";120;1;0;58;2
"88963";"0";6;0;0;164,2;2
"83982";"0";172;1;1;164;1
"22320";"0";186;0;0;107,69;3
"59437";"1";109;2;0;198;0
"92840";"0";14;0;0;91,8;0
"63928";"1";31;0;0;185;1
"21757";"0";204;0;0;95;1
"13490";"1";367;0;1;167;0
"8132";"1";0;0;0;54;0
"9560";"1";8;0;0;107;1
"3986";"0";50;0;0;85;0
"53199";"0";297;0;0;75;0
"27426";"1";323;0;0;60;1
"90374";"0";192;0;2;72,75;2
"14184";"1";327;0;1;196;2
"32008";"0";3;0;0;80,85;0
"40096";"0";45;0;0;152;1
"48890";"0";83;0;0;126,9;0
"28881";"1";285;0;0;119,5;2
"67479";"1";169;0;0;89,25;0
"73645";"0";46;0;1;101;0
"99882";"0";40;0;1;112,67;1
"11545";"1";102;0;0;262;0
"97105";"0";16;0;0;96;1
"13813";"1";219;0;0;134;0
"5187";"0";43;0;0;58;2
"101892";"0";148;1;2;118,1;2
"100677";"0";114;0;0;82,08;0
"17216";"0";8;3;2;124;0
"30304";"0";0;0;0;30;0
"57620";"0";422;0;0;75;0
"103947";"0";6;0;1;179;0
"30341";"1";82;0;0;62;1
"12032";"1";82;1;0;207,5;0
"71751";"1";317;0;0;52,7;0
"80955";"0";2;0;0;85,5;0
"59626";"1";189;0;0;140;0
"52062";"1";35;0;0;120;0
"27626";"1";292;0;0;50;0
"89172";"0";48;0;0;86,72;1
"22584";"1";108;0;0;133;1
"56047";"1";36;0;0;67;0
"92932";"0";19;1;0;90,71;0
"59649";"1";34;0;0;198;0
"79530";"0";138;0;1;90;0
"33691";"0";3;0;0;90;2
"12588";"1";106;0;0;72;0
"103320";"0";180;0;0;112,5;1
"26000";"1";26;0;1;89,34;0
"61741";"1";328;0;0;100;0
"56040";"1";232;0;0;67;0
"52249";"1";288;0;0;62;0
"81346";"0";5;0;0;137,7;2
"17951";"1";72;0;0;68;1
"101399";"0";127;0;1;122,08;1
"8627";"1";11;0;0;37;0
"6706";"0";10;1;1;214,6;1
"63098";"1";134;0;0;120,58;0
"20602";"0";275;0;0;66,2;2
"63452";"1";62;2;1;230;0
"89475";"0";31;0;0;80,75;2
"77800";"0";26;0;0;103,2;0
"100842";"0";48;0;0;118;1
"100898";"0";299;0;0;99;1
"69758";"1";158;0;0;90;0
"56926";"1";56;0;0;134,3;0
"8779";"0";55;0;0;48;2
"42268";"0";27;0;2;75;1
"46113";"0";0;0;0;105,3;0
"103797";"0";115;0;1;125;0
"97028";"0";225;0;1;141;0
"9514";"1";44;0;0;54;1
"14035";"1";299;0;0;117,3;0
"8861";"0";0;1;0;110;0
"62770";"1";79;2;0;239,1;1
"62111";"1";143;0;0;135,33;0
"40417";"0";26;0;0;95;0
"7277";"1";63;0;0;89;0
"100075";"0";14;0;0;140;1
"62227";"1";244;0;0;150;1
"87937";"0";3;0;0;95;0
"52558";"0";136;0;0;139,5;2
"10992";"1";97;0;0;135;0
"50402";"1";29;2;0;86,5;1
"78081";"0";3;1;0;173,5;1
"74034";"0";56;0;0;52,39;0
"11273";"1";174;0;0;135;0
"12790";"0";146;2;2;197,67;1
"78860";"0";143;0;0;145,8;0
"101976";"0";165;0;2;96,9;1
"24945";"1";59;0;0;181;1
"76014";"0";3;0;0;105,3;3
"77098";"0";164;0;0;165;1
"81525";"0";161;0;0;75;0
"8777";"0";55;0;0;40;0
"88599";"0";44;0;0;93,6;2
"45575";"0";218;0;0;76,5;0
"74696";"0";1;0;0;89;0
"6360";"0";0;0;0;191;0
"30902";"0";3;0;0;65,5;0
"65963";"1";192;0;0;60;0
"93542";"0";0;0;0;88;0
"12864";"1";148;1;0;142,5;1
"48109";"0";149;0;0;130;0
"33133";"0";6;0;0;54;1
"23672";"1";118;1;0;166,5;0
"41825";"0";129;0;0;85,67;0
"20884";"1";106;0;1;52,2;1
"63464";"1";157;0;0;108;0
"104274";"0";54;0;0;266,75;1
"24325";"0";364;0;0;151,83;1
"77222";"0";112;0;0;115,52;1
"78536";"0";12;0;1;120;0
"92455";"0";4;0;0;98;1
"84732";"0";84;0;0;125,1;2
"11438";"1";100;0;3;205;1
"4309";"0";3;0;1;60,3;0
"27975";"1";146;0;0;63;2
"18886";"0";19;0;0;56;1
"5530";"0";286;0;0;99;2
"31592";"0";72;0;1;34;0
"22287";"1";105;0;0;139,05;1
"18475";"1";4;0;0;117,5;0
"31061";"0";1;0;1;47;0
"37613";"0";49;0;0;94,5;0
"82134";"0";69;0;0;96,9;1
"28107";"1";58;0;2;84;0
"33022";"0";0;0;0;63;0
"65104";"1";125;0;0;130,5;0
"16034";"0";3;0;0;40;0
"64104";"1";29;0;0;90;0
"9583";"0";168;0;0;99,5;1
"100638";"0";22;0;1;91,33;0
"23301";"1";92;0;0;156;0
"20832";"0";191;0;0;46,8;1
"9861";"0";76;0;0;85;0
"12315";"0";98;0;0;30;0
"59807";"1";166;0;0;115;2
"48357";"0";211;2;0;162,45;0
"62597";"1";88;0;0;117;0
"23909";"1";29;0;0;115,2;1
"98563";"0";14;0;1;75;2
"87329";"0";105;0;1;37,5;0
"54874";"1";77;0;0;62,8;0
"101147";"0";95;0;0;110;1
"76316";"0";64;1;0;163,46;2
"27133";"1";5;0;0;41;0
"62089";"1";54;0;0;170;0
"58597";"1";338;0;0;80,1;0
"4880";"0";37;0;0;86;0
"35982";"0";103;0;0;116,5;0
"53487";"1";123;0;0;153;2
"70142";"1";125;0;0;90,95;1
"86381";"0";236;0;0;145,98;1
"95066";"0";115;0;1;90;1
"4719";"0";196;0;0;40,76;1
"96350";"0";75;1;0;171;3
"11336";"0";34;2;0;244;0
"65664";"1";134;0;0;62;0
"4385";"0";8;0;0;52,2;1
"98535";"0";0;0;0;190;1
"29555";"0";3;0;0;37;0
"62472";"1";187;0;0;120;0
"10864";"1";89;0;0;135;0
"93323";"0";21;2;0;190;1
"15988";"0";2;0;0;38;0
"29180";"1";17;0;0;44;1
"46264";"0";203;0;0;131,6;0
"77135";"0";2;0;0;109,65;2
"63023";"1";23;0;0;149,4;1
"33619";"0";7;0;2;79,85;0
"66668";"1";141;0;0;75;0
"8955";"0";1;0;0;75;0
"62520";"1";50;0;0;144;0
"10946";"0";40;0;0;182;0
"97482";"0";179;0;0;99;0
"34596";"0";0;0;1;100,71;0
"70342";"1";274;0;1;84;1
"46023";"0";3;0;0;95;0
"44381";"0";0;0;0;90;0
"64511";"1";127;0;0;160;1
"56634";"1";149;0;0;74,8;0
"102326";"0";277;0;0;118,65;0
"31273";"0";15;0;0;48,43;2
"48624";"0";174;0;0;130;0
"12471";"0";15;0;1;35;0
"36254";"0";222;0;0;168,6;2
"47383";"0";158;0;0;135,31;1
"8571";"0";6;1;0;70;0
"50664";"1";48;0;0;96,3;0
"66149";"1";5;0;0;62;0
"68588";"1";120;0;1;65;1
"85288";"0";231;0;0;115;1
"2928";"0";29;0;0;26,1;1
"22534";"1";331;0;0;71,6;0
"41631";"0";0;0;0;109;0
"88714";"0";0;0;0;112;0
"7709";"0";12;0;0;8;0
"92119";"0";1;0;0;138;0
"48951";"0";30;0;0;104,49;0
"92334";"0";7;0;0;57,05;0
"69979";"1";62;0;0;90;0
"8871";"0";2;0;0;86;0
"48863";"0";10;0;0;81;0
"46544";"0";330;0;0;135,9;0
"43111";"0";10;0;0;96;1
"27976";"1";305;0;0;171;2
"73051";"0";4;0;0;80;0
"101845";"0";150;0;0;98,1;1
"94077";"0";29;1;1;115,55;3
"2385";"0";3;0;0;66;1
"27777";"1";170;0;0;43;0
"102025";"0";141;0;1;138;0
"16182";"0";16;0;0;48;2
"43406";"0";0;0;0;79;0
"33139";"0";34;0;0;55,71;1
"96881";"0";0;0;1;6;0
"61839";"1";129;1;0;315;2
"64857";"1";118;0;0;124,65;0
"26341";"1";32;0;0;96;0
"73877";"0";78;1;0;60;2
"23158";"1";119;0;0;68,86;0
"36044";"0";68;0;0;234;2
"93907";"0";24;0;1;68;0
"89495";"0";3;0;0;74,8;2
"3880";"0";142;0;2;73;1
"14147";"1";323;0;0;132,87;0
"9111";"0";13;0;0;44;0
"41585";"0";3;0;0;109;0
"42500";"0";1;0;0;55,63;0
"91559";"0";31;0;0;74,8;1
"87851";"0";0;0;0;115;1
"71000";"0";26;0;0;62;0
"44693";"0";4;0;0;93,3;1
"20153";"1";180;0;0;66;0
"13444";"1";353;0;0;88,55;1
"81745";"0";226;0;0;166;0
"56211";"1";10;0;0;75;0
"93000";"0";5;0;0;88;2
"73101";"0";99;0;1;71,1;0
"57797";"1";163;0;0;97,2;1
"53298";"0";323;0;0;128,4;0
"39371";"0";10;0;0;75;0
"80074";"0";192;0;0;95;0
"44914";"0";351;0;0;150,3;0
"101643";"0";15;0;0;149;2
"35263";"0";5;2;0;198;2
"94857";"0";3;0;0;128;1
"74998";"0";1;0;0;134;0
"18464";"1";24;0;0;55;0
"101199";"0";131;0;0;89,1;0
"33857";"0";1;0;0;82,86;0
"95264";"0";2;0;2;144;0
"61219";"1";29;0;0;163,33;1
"33959";"0";7;0;1;128,7;0
"40072";"0";11;0;0;62;0
"11169";"0";80;0;0;151;0
"98409";"0";75;0;0;162;0
"4933";"0";254;0;0;63;0
"35516";"0";62;0;3;159;1
"31473";"0";25;0;0;60;1
"52266";"1";288;0;0;141,5;0
"95621";"0";35;0;0;220;1
"9776";"0";8;0;0;85;0
"40418";"0";45;0;0;95;0
"3494";"1";214;0;0;64;0
"36663";"0";147;2;0;319;3
"3440";"1";166;1;0;61,2;2
"19887";"1";74;0;1;62;0
"2889";"1";66;0;0;52;0
"102968";"0";13;2;0;270;3
"84871";"0";35;0;2;127,44;1
"25513";"1";72;1;0;145;1
"45203";"0";47;0;0;62;0
"60095";"1";626;0;0;120;0
"75340";"0";84;0;0;106,2;0
"79599";"0";150;0;0;131;0
"81779";"0";14;0;0;95,85;2
"30020";"0";1;0;0;68;0
"10545";"0";62;1;1;117,5;0
"80517";"0";132;0;0;159,3;2
"10983";"1";97;0;0;219,5;2
"47347";"0";5;0;0;116,1;1
"66293";"1";97;0;0;62;0
"28676";"1";304;0;0;60;0
"50312";"1";8;2;0;231;0
"31628";"0";1;0;0;75;0
"77797";"0";102;0;0;120;0
"19526";"1";3;0;0;40;0
"69703";"1";80;0;0;83;0
"70529";"1";107;0;0;60;0
"22930";"1";149;0;0;70,88;2
"41860";"0";0;2;1;186,52;0
"101238";"0";179;0;0;147,9;1
"90038";"0";35;0;0;79;0
"2329";"0";19;0;2;70;0
"45289";"0";3;0;0;78;0
"2137";"0";29;0;0;85;1
"25879";"1";49;0;0;99;0
"63885";"1";108;0;0;166,5;0
"36541";"0";165;0;1;131,4;0
"37065";"0";138;0;0;154;1
"69038";"1";184;0;0;155;1
"91294";"0";115;2;0;170,63;2
"48629";"0";215;0;0;130;0
"58174";"1";167;0;0;85;0
"100538";"0";109;0;0;162;0
"75739";"0";23;0;0;85,5;1
"99508";"0";48;0;2;180;1
"29115";"1";77;0;0;34,4;0
"43125";"0";94;0;0;80,3;1
"90268";"0";76;0;2;79,2;1
"65223";"1";53;1;1;220;0
"69060";"1";194;0;0;96,3;1
"82428";"0";3;1;0;94,56;2
"84423";"0";172;0;0;123,2;0
"68946";"1";226;0;1;120;0
"26593";"1";126;0;0;89,78;1
"42244";"0";0;0;0;70;0
"71850";"0";0;0;0;58,91;1
"81688";"0";292;0;0;115;0
"67358";"1";34;0;2;170;0
"97151";"0";325;0;0;93,5;1
"65934";"1";69;0;0;76,5;0
"59901";"1";304;0;0;117;2
"52386";"1";64;1;0;152,1;0
"22112";"1";32;0;0;106,38;2
"4441";"0";108;0;0;85;0
"886";"1";49;2;0;267;0
"74720";"0";54;0;0;99;2
"69140";"1";19;2;0;174,25;0
"77543";"0";1;0;0;116,1;0
"12520";"1";198;0;2;48;0
"70800";"1";68;0;0;85;0
"76648";"0";3;0;0;70,03;1
"69519";"1";33;0;0;130;0
"52669";"1";34;0;0;126,9;0
"71119";"0";3;0;1;65;0
"29601";"0";1;0;0;43;0
"48040";"0";145;0;0;62,8;0
"64600";"1";62;0;0;140;2
"69273";"1";358;0;0;96,3;2
"19293";"0";7;0;0;35,65;1
"95414";"0";74;0;0;103,8;0
"61663";"1";37;0;0;114;0
"18145";"0";7;0;0;58;0
"97690";"0";30;0;2;130;1
"20849";"1";191;0;0;42,19;1
"61317";"1";59;0;0;157,5;2
"27496";"1";304;0;0;30;0
"27812";"1";331;0;0;67,8;1
"50546";"0";74;0;0;112;1
"78638";"0";20;1;1;125,1;2
"58260";"1";273;0;0;90;0
"84273";"0";220;0;0;96,3;0
"79292";"0";73;0;0;126,9;0
"660";"1";31;0;0;120,6;1
"96327";"0";177;0;1;105,33;1
"15952";"0";5;0;0;86;0
"102800";"0";139;0;0;139,5;2
"4486";"0";65;0;1;83,7;0
"53451";"1";37;0;0;60;0
"10647";"1";30;0;0;216;1
"26658";"1";239;0;0;45;0
"31983";"0";9;0;2;160;0
"21945";"1";35;0;0;54,56;0
"102007";"0";184;0;0;85;0
"29361";"0";1;0;0;42;0
"13505";"1";374;0;2;156,5;0
