"";"is_canceled";"lead_time";"children_babies";"booking_changes";"adr";"total_of_special_requests"
"4";"0";13;0;0;75;0
"5";"0";14;0;0;98;1
"6";"0";0;0;0;107;0
"7";"0";9;0;0;103;1
"11";"0";35;0;0;145;0
"14";"0";37;0;0;94,71;0
"23";"0";127;0;0;94,95;1
"24";"0";78;0;0;63,6;0
"25";"0";48;0;0;79,5;0
"30";"0";95;0;0;63,86;0
"33";"1";45;0;0;108,8;1
"34";"1";40;0;0;108,8;1
"36";"0";36;0;0;108,8;1
"38";"0";70;0;0;137;1
"39";"1";45;0;0;117,81;0
"45";"0";113;0;0;82,88;2
"46";"0";90;0;1;82,35;0
"47";"0";50;0;1;119,35;1
"48";"0";113;0;0;67,58;2
"50";"0";76;0;0;110,7;0
"54";"0";0;0;0;147;0
"56";"0";0;0;0;123;0
"57";"0";14;0;0;98;1
"69";"1";101;0;0;73,8;1
"70";"0";2;0;0;91,5;0
"71";"0";15;0;0;114,5;0
"73";"0";3;0;0;90,9;0
"75";"0";2;0;0;122;0
"77";"0";81;0;0;85,86;0
"78";"0";99;0;0;58,95;0
"79";"1";368;0;0;55,68;0
"80";"0";364;0;0;55,68;0
"87";"0";9;0;0;98;2
"88";"0";1;0;0;131;1
"89";"0";21;0;0;123;0
"94";"1";63;0;0;117;1
"97";"0";102;0;0;90,95;0
"99";"0";98;0;0;71,55;0
"100";"0";92;2;0;96,49;2
"102";"0";102;0;0;96,3;1
"110";"0";52;0;0;67,24;0
"113";"0";109;0;0;123;1
"116";"0";79;1;1;149;1
"119";"1";51;0;0;105;0
"125";"0";100;0;0;73,8;1
"131";"0";0;0;1;85,1;0
"134";"0";2;0;0;98;0
"139";"0";97;0;0;87,3;2
"141";"0";30;0;0;123;0
"142";"0";64;0;0;107;0
"144";"0";90;0;0;82;0
"145";"1";34;2;0;163;0
"150";"0";27;0;0;98,4;0
"152";"0";82;0;0;63,6;2
"155";"0";96;0;0;74,07;0
"156";"0";79;0;0;134,1;0
"157";"0";115;2;1;167;0
"160";"0";94;0;0;171,32;1
"162";"0";84;1;1;97;2
"168";"0";98;0;0;87,3;1
"169";"0";95;0;0;97;1
"170";"1";48;0;0;167;0
"174";"0";34;0;0;175;0
"175";"0";98;0;0;117,8;1
"183";"0";100;0;1;63,86;1
"195";"0";0;0;0;109,8;3
"196";"0";0;0;0;195;0
"200";"0";0;0;2;98;0
"203";"0";54;0;0;79,5;0
"207";"0";7;0;0;131;2
"210";"0";5;0;0;146;1
"217";"0";113;0;1;77,96;1
"218";"1";280;1;0;112;1
"222";"0";82;0;0;112;1
"223";"0";100;0;1;130,1;3
"225";"0";17;2;0;123;3
"227";"0";12;2;2;146;0
"229";"1";24;2;0;123;1
"231";"0";78;1;0;82;2
"232";"1";17;0;0;105,08;0
"234";"0";16;0;0;98;1
"237";"0";90;0;0;90,95;0
"239";"0";90;0;0;119,25;0
"240";"0";366;0;0;134,73;0
"241";"0";249;0;0;112;1
"242";"1";69;0;0;118,13;2
"248";"0";3;0;0;131;1
"249";"0";13;1;2;185;1
"255";"1";51;0;0;123;0
"256";"0";79;0;0;82;2
"257";"0";21;2;1;165;3
"261";"0";78;0;1;134,43;2
"266";"0";11;1;0;159,75;0
"269";"0";41;1;0;110,6;0
"270";"0";32;0;0;105,9;0
"274";"0";44;0;0;120,6;0
"278";"0";70;0;0;99,5;2
"279";"0";110;0;0;139,4;1
"282";"0";33;0;0;123;0
"284";"0";0;0;0;123;0
"285";"0";0;0;1;144,9;1
"290";"0";16;0;0;123;1
"302";"0";8;1;0;169;2
"305";"0";48;0;0;123;1
"309";"0";59;0;0;107;0
"312";"0";31;0;0;123;0
"316";"1";97;0;0;126;1
"318";"0";64;0;0;125,22;1
"319";"0";31;0;0;123;0
"322";"0";81;0;0;78,84;0
"323";"0";1;0;0;80,1;0
"324";"0";34;2;0;193;1
"325";"0";13;0;0;88,2;0
"327";"0";1;0;0;114,5;1
"328";"0";34;0;0;120,2;1
"329";"0";88;0;1;79,5;0
"331";"1";24;0;0;128;0
"333";"0";60;1;2;107;2
"334";"0";100;2;0;130,05;1
"339";"0";47;0;0;175,71;0
"340";"0";115;1;1;119,7;2
"344";"0";109;0;0;73,8;1
"348";"0";62;0;0;64;2
"349";"1";45;0;0;123;0
"350";"0";42;0;0;110;0
"352";"0";51;0;0;130;0
"356";"1";60;0;0;79,5;0
"357";"1";321;0;0;132,8;1
"360";"0";38;0;0;120;0
"362";"0";101;0;0;107,2;0
"365";"1";81;0;0;98,5;2
"366";"1";98;0;0;130,5;0
"377";"1";40;0;0;105,5;0
"379";"0";1;0;2;8;1
"382";"0";0;0;0;111,15;1
"383";"0";49;0;1;136,2;2
"385";"0";73;0;0;127;1
"386";"0";73;1;0;161,5;2
"387";"0";317;2;1;230,67;2
"390";"0";8;0;1;168,57;1
"392";"1";96;0;0;96,9;1
"393";"0";99;0;0;107;1
"394";"0";66;0;0;73,41;0
"395";"0";38;0;0;109,9;2
"399";"1";62;0;0;91,5;0
"400";"1";39;0;0;132,44;0
"401";"0";37;0;0;106,9;0
"403";"0";37;2;0;216,13;0
"404";"0";57;0;0;107;0
"406";"0";57;0;0;107;0
"408";"0";57;0;0;107;0
"409";"0";57;0;1;94;0
"412";"0";57;0;1;148,23;0
"415";"1";66;2;0;195;1
"417";"0";50;0;0;123,2;0
"420";"0";7;2;1;169;1
"424";"0";66;0;0;103,5;1
"425";"0";10;0;0;184;0
"427";"1";58;0;0;147;0
"428";"1";17;0;0;151,33;0
"430";"0";10;0;0;150,2;1
"433";"0";63;0;0;75,44;1
"434";"1";35;0;0;135;0
"435";"0";113;0;0;166;1
"436";"1";35;0;0;135;0
"437";"0";68;0;0;130;0
"439";"0";21;0;1;160;0
"442";"0";17;0;0;164;2
"443";"0";1;0;0;144,5;0
"445";"1";15;0;0;134;1
"447";"0";11;0;0;155,5;0
"449";"0";1;0;0;144,5;0
"452";"0";15;0;0;120,6;1
"457";"0";94;0;0;103,5;0
"461";"0";24;1;1;195;1
"466";"0";90;0;1;132,3;3
"470";"0";65;0;0;167;2
"477";"0";38;0;0;135;0
"478";"0";13;0;0;126,3;2
"479";"1";32;0;0;154;0
"480";"0";315;0;0;96,3;0
"482";"1";0;0;0;136;0
"483";"0";91;1;4;118,5;3
"485";"0";9;0;0;164;1
"491";"0";64;0;0;137,75;1
"493";"0";26;0;0;132,6;0
"494";"1";96;0;0;147;0
"496";"1";42;2;0;210;0
"498";"0";28;0;0;98,02;1
"499";"0";106;2;0;126;2
"500";"0";1;0;0;173;1
"501";"0";0;2;0;249;0
"502";"0";4;2;0;186,5;0
"503";"0";3;0;0;95;1
"505";"0";44;0;0;177;0
"510";"0";57;0;0;135;1
"513";"0";0;0;0;98;0
"514";"0";0;0;0;98;0
"517";"0";19;0;0;120,6;1
